

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 10:08:39 GMT 2021, Environment = DEBUG, DEBUG: DEBUG_TAG -> DEBUG_LOG_MESSAGE 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 10:17:25 GMT 2021, Environment = DEBUG, ERROR: ERROR_TAG -> ERROR_LOG_MESSAGE 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 10:17:36 GMT 2021, Environment = DEBUG, ERROR: ERROR_TAG -> ERROR_LOG_MESSAGE 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 10:17:53 GMT 2021, Environment = DEBUG, ERROR: ERROR_TAG -> ERROR_LOG_MESSAGE 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 10:18:03 GMT 2021, Environment = DEBUG, INFO: INFO_TAG -> INFO_LOG_MESSAGE 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:37:57 GMT 2021, Environment = DEBUG, DEBUG: Test Debug -> Test Debug Message 
JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:37:57 GMT 2021, Environment = DEBUG, INFO: Test Info -> Test Info Message 
JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:37:57 GMT 2021, Environment = DEBUG, ERROR: Test Error -> Test Error Message 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:37:57 GMT 2021, Environment = DEBUG, DEBUG: Test Debug -> Test Debug Message 
JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:37:57 GMT 2021, Environment = DEBUG, INFO: Test Info -> Test Info Message 
JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:37:57 GMT 2021, Environment = DEBUG, ERROR: Test Error -> Test Error Message 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:43:03 GMT 2021, Environment = DEBUG, DEBUG: Test Debug -> Test Debug Message 
JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:43:03 GMT 2021, Environment = DEBUG, INFO: Test Info -> Test Info Message 
JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:43:03 GMT 2021, Environment = DEBUG, ERROR: Test Error -> Test Error Message 

JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:43:03 GMT 2021, Environment = DEBUG, DEBUG: Test Debug -> Test Debug Message 
JaysLogger: Session = 332200, UserID = 11920, Date = Mon May 24 12:43:03 GMT 2021, Environment = DEBUG, INFO: Test Info -> Test Info Message 
